場所,ファイル名,言語,有効行(①),コメント行(②),空白行(③),合計行(①＋②＋③)
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\action\admin\operation,Operation.class.php,PHP,124,27,12,163
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\action\edit\activity,Activity.class.php,PHP,15,15,5,35
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\action\edit\current,Current.class.php,PHP,15,15,5,35
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\action\edit\delete,Delete.class.php,PHP,15,15,5,35
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\action\edit\entry,Entry.class.php,PHP,19,16,7,42
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\action\edit\style,Style.class.php,PHP,15,15,5,35
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\action\main\delete,Delete.class.php,PHP,27,16,8,51
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\action\main\mail,Mail.class.php,PHP,44,16,11,71
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\action\main\post,Post.class.php,PHP,17,16,6,39
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\action\main\read,Read.class.php,PHP,18,16,6,40
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\action\main\upload\attachment,Attachment.class.php,PHP,13,15,5,33
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\action\main\upload\image,Image.class.php,PHP,13,15,5,33
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\action\main\vote,Vote.class.php,PHP,18,16,6,40
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\action\mobile\post,Post.class.php,PHP,28,17,7,52
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\components,Action.class.php,PHP,514,100,82,696
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\components,View.class.php,PHP,891,285,147,1323
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\config,define.inc.php,PHP,15,14,7,36
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\files\css\default,style.css,HTMLスタイルシート,116,1,6,123
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\files\js\default,bbs.js,JavaScript,314,1,53,368
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates,bbs_script.html,HTML,6,1,0,7
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_mobile_body.html,HTML,27,1,6,34
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_mobile_body_feature.html,HTML,42,1,2,45
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_mobile_body_smart.html,HTML,22,1,0,23
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_mobile_flat.html,HTML,26,1,0,27
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_mobile_form.html,HTML,72,1,10,83
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_mobile_init.html,HTML,39,1,3,43
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_mobile_init_operation.html,HTML,36,1,5,42
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_mobile_list.html,HTML,30,1,4,35
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_mobile_post_list.html,HTML,7,1,2,10
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_mobile_subject.html,HTML,36,1,1,38
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_mobile_subject_feature.html,HTML,28,1,0,29
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_mobile_subject_smart.html,HTML,30,1,0,31
