場所,ファイル名,言語,有効行(①),コメント行(②),空白行(③),合計行(①＋②＋③)
Config\Migration,1409735981_iframes.php,PHP,100,42,12,154
Config\Schema,schema.php,PHP,45,37,6,88
Controller,IframeFrameSettingsController.php,PHP,70,41,15,126
Controller,IframesAppController.php,PHP,9,18,4,31
Controller,IframesController.php,PHP,149,66,19,234
Model,Iframe.php,PHP,107,68,21,196
Model,IframeFrameSetting.php,PHP,107,66,21,194
Model,IframesAppModel.php,PHP,5,16,4,25
Test\Case,AllIframesTest.php,PHP,11,18,3,32
Test\Case\Controller,IframesAppTest.php,PHP,150,69,21,240
Test\Case\Controller,IframesControllerErrorTest.php,PHP,123,38,23,184
Test\Case\Controller,IframesControllerTest.php,PHP,98,51,19,168
Test\Case\Controller,IframesControllerValidateErrorTest.php,PHP,106,26,15,147
Test\Case\Model,IframeAppModelTest.php,PHP,53,39,8,100
Test\Case\Model,IframeErrorTest.php,PHP,107,47,23,177
Test\Case\Model,IframeFrameSettingAppModelTest.php,PHP,53,39,8,100
Test\Case\Model,IframeFrameSettingTest.php,PHP,58,32,17,107
Test\Case\Model,IframeTest.php,PHP,218,48,34,300
Test\Case\Model,IframeValidateErrorTest.php,PHP,95,28,9,132
Test\Fixture,BlockFixture.php,PHP,43,22,5,70
Test\Fixture,CommentFixture.php,PHP,32,22,5,59
Test\Fixture,FrameFixture.php,PHP,70,22,5,97
Test\Fixture,IframeFixture.php,PHP,56,22,5,83
Test\Fixture,IframeFrameSettingFixture.php,PHP,34,22,5,61
Test\Fixture,PluginFixture.php,PHP,36,22,5,63
Test\Fixture,UserAttributesUserFixture.php,PHP,33,17,5,55
Test\Fixture,UserFixture.php,PHP,62,17,5,84
View\Elements\IframeFrameSettings,display_change_form.ctp,CTP言語,57,9,5,71
View\Elements\Iframes,display_iframe.ctp,CTP言語,16,9,4,29
View\Elements\Iframes,edit_form.ctp,CTP言語,31,9,3,43
View\IframeFrameSettings\json,edit.ctp,CTP言語,5,9,2,16
View\Iframes,view.ctp,CTP言語,5,9,1,15
View\Iframes,viewForEditor.ctp,CTP言語,17,9,6,32
View\Iframes\json,edit.ctp,CTP言語,5,9,2,16
webroot\js,iframes.js,JavaScript,29,51,13,93
,,M,219,150,,369
,,V,136,63,,199
,,C,228,125,,353
,,その他,145,79,,224
,,JS,29,51,,80
,,合計,757,468,,1225
